Timestamp: b'1739185983, Yaw: 0.0, Pitch: 0.0\n'
Timestamp: b'1739185983, Yaw: 0.0, Pitch: 0.0\n'
Timestamp: b'1739185983, Yaw: 359.9375, Pitch: -5.5625\n'
Timestamp: b'1739185984, Yaw: 359.9375, Pitch: -5.5625\n'
Timestamp: b'1739185984, Yaw: 359.9375, Pitch: -5.5625\n'
Timestamp: b'1739185984, Yaw: 359.9375, Pitch: -5.5625\n'
Timestamp: b'1739185984, Yaw: 359.9375, Pitch: -5.5625\n'
Timestamp: b'1739185984, Yaw: 359.9375, Pitch: -5.5625\n'
Timestamp: b'1739185984, Yaw: 359.9375, Pitch: -5.5625\n'
Timestamp: b'1739185984, Yaw: 359.9375, Pitch: -5.5625\n'
Timestamp: b'1739185984, Yaw: 359.9375, Pitch: -5.5625\n'
Timestamp: b'1739185984, Yaw: 359.9375, Pitch: -5.5625\n'
Timestamp: b'1739185985, Yaw: 359.9375, Pitch: -5.5625\n'
Timestamp: b'1739185985, Yaw: 359.9375, Pitch: -5.5625\n'
Timestamp: b'1739185985, Yaw: 359.9375, Pitch: -5.5625\n'
Timestamp: b'1739185985, Yaw: 359.9375, Pitch: -5.5625\n'
Timestamp: b'1739185985, Yaw: 359.9375, Pitch: -5.5625\n'
Timestamp: b'1739185985, Yaw: 359.9375, Pitch: -5.5625\n'
Timestamp: b'1739185985, Yaw: 359.9375, Pitch: -5.5625\n'
Timestamp: b'1739185985, Yaw: 359.9375, Pitch: -5.5625\n'
Timestamp: b'1739185985, Yaw: 359.9375, Pitch: -5.5625\n'
Timestamp: b'1739185986, Yaw: 359.9375, Pitch: -5.5625\n'
Timestamp: b'1739185986, Yaw: 359.9375, Pitch: -5.5625\n'
Timestamp: b'1739185986, Yaw: 359.9375, Pitch: -5.5625\n'
Timestamp: b'1739185986, Yaw: 359.9375, Pitch: -5.5625\n'
Timestamp: b'1739185986, Yaw: 359.9375, Pitch: -5.5625\n'
Timestamp: b'1739185986, Yaw: 359.9375, Pitch: -5.5625\n'
Timestamp: b'1739185986, Yaw: 358.5, Pitch: -5.5\n'
